"Word","Auditory.mean","Gustatory.mean","Haptic.mean","Interoceptive.mean","Olfactory.mean","Visual.mean","Foot_leg.mean","Hand_arm.mean","Head.mean","Mouth.mean","Torso.mean","Auditory.SD","Gustatory.SD","Haptic.SD","Interoceptive.SD","Olfactory.SD","Visual.SD","Foot_leg.SD","Hand_arm.SD","Head.SD","Mouth.SD","Torso.SD"
"BEFORE",1.059,0.294,0.412,0.588,0.294,1.588,0.619,0.667,1.952,0.667,0.524,1.749,0.588,1.176,1.326,0.772,2.063,1.431,1.494,2.109,1.494,1.401
"BEHIND",0.947,0.105,1,1.053,0.368,3.526,1.842,1.263,3,0.684,1.789,1.268,0.459,1.528,1.84,1.012,1.389,1.642,1.558,1.856,1.157,1.653
"BELT",0.333,0.167,3.278,0.333,0.333,4,0.65,3.05,1.2,0.3,2.95,0.686,0.707,1.447,0.767,0.97,1.328,1.496,2.139,1.824,1.129,2.305
"BENCH",0.316,0,3.316,0.158,0.211,3.895,1.895,1.474,0.947,0.105,2.053,1.157,0,1.6,0.501,0.535,1.1,1.663,1.806,0.97,0.315,2.013
"BETTER",1.706,0.706,1,2.118,0.765,2.294,0.805,0.951,2.39,1.122,0.902,2.054,1.359,1.581,1.965,1.393,2.257,1.52,1.642,1.961,1.676,1.625
"BICYCLE",1.25,0.15,3.25,0.95,0.2,3.7,4.278,3.389,1.889,0.722,2.444,1.585,0.489,1.682,1.432,0.894,1.949,1.565,1.944,2.055,1.602,1.977
"BIG",0.944,0.167,2.722,0.333,0.111,3.889,1,1.9,3.1,1.35,0.95,1.305,0.707,1.994,0.97,0.471,1.875,1.298,1.997,1.917,1.631,1.395
"BIRD",3.68,0.8,1.4,0.16,0.8,4.12,0.375,1.583,3.375,0.542,0.292,1.796,1.472,1.756,0.624,1.443,1.394,0.97,1.692,1.861,1.318,0.69
"BITE",1,0.625,2.125,2,0,3.125,0.295,0.574,1.277,4.745,0.347,1.592,1.455,2.419,2.251,0,1.962,0.914,1.227,1.784,0.816,0.978
"BLACK",0.059,0.059,0.118,0.353,0.059,4.471,0.4,0.65,2.55,0.4,0.55,0.243,0.243,0.485,0.996,0.243,1.375,0.883,1.137,2.139,0.681,0.999
"BLANKET",0.211,0.053,4.158,0.684,0.947,3.368,2.5,3.4,1.4,0.45,2.65,0.419,0.229,1.463,1.108,1.311,2.033,1.96,1.635,1.501,0.887,2.134
"BLOCK",0.946,0.27,2.27,0.568,0.216,3.459,1.867,3.067,2.2,0.9,1.933,1.508,0.838,1.953,1.281,0.712,1.693,1.592,1.53,1.827,1.447,1.639
"BLOW",2.294,0.824,2.235,2.059,0.294,3.588,0.048,0.571,1.095,3.476,0.714,1.687,1.425,1.821,1.784,0.849,1.543,0.218,1.287,1.446,2.015,1.419
"BLUE",0.25,0,0.15,0.5,0,4.45,0.111,0.111,3.389,0.333,0.389,1.118,0,0.489,1.051,0,1.146,0.323,0.323,1.975,0.97,1.195
"BOAT",1.895,0.263,2.158,0.421,0.632,3.632,1.429,2,1.905,0.19,1.429,1.853,1.147,2.062,1.216,1.535,1.739,1.72,2.074,1.998,0.68,1.502
"BOOK",1.15,0.05,2.9,0.4,0.6,4.5,0.5,3.136,4.091,0.955,0.545,1.725,0.224,1.774,1.273,1.231,0.761,1.263,1.642,1.63,1.397,1.101
"BOOT",0.474,0,3.053,0.211,0.737,3.368,4.048,1.143,0.81,0.238,0.143,1.219,0,1.682,0.535,1.327,1.892,1.658,1.74,1.365,0.539,0.478
"BOTTLE",0.765,0.294,2.706,0,0.353,4.176,0.368,3.632,1.737,2.842,0.526,1.251,0.686,1.759,0,1.057,1.286,0.684,1.383,1.821,1.864,0.964
"BOWL",0.947,0.053,4.211,0,0.053,4.526,1.381,2.905,1.571,1,1.381,1.545,0.229,1.316,0,0.229,1.219,1.802,1.972,1.748,1.517,1.627
"BOX",0.105,0,3.421,0.053,0.105,4.368,0.842,2.684,1.789,0.632,0.895,0.315,0,1.575,0.229,0.315,1.012,1.259,2.212,1.903,1.571,1.37
"BOY",2.438,0.312,1.312,0.25,0.5,4,1.684,2,2.789,1.632,1.632,1.825,0.793,1.58,0.683,1.317,1.549,2.11,2.134,2.149,2.033,2.06
"BREAD",0.158,4.421,3.105,1,3,3.842,0,2.429,1.619,4.619,0.381,0.375,1.216,1.524,1.667,1.764,1.675,0,1.859,2.085,1.117,0.865
"BREAK",2.412,0.176,2.353,1.118,0.176,2.765,1.952,2.857,1.952,1.143,1.095,2.152,0.728,1.73,1.616,0.728,2.107,1.987,1.797,1.91,1.621,1.578
"BREAKFAST",1.125,4.625,1.875,1.375,3.875,3.75,0.368,2.474,2.684,4.421,1.263,1.5,0.719,2.062,1.821,1.258,1.528,0.831,1.982,1.857,1.071,1.821
"BRING",1.45,0.45,2.25,1.1,0.4,2.9,2.632,3.316,1.474,0.947,1.579,1.761,0.887,2.023,1.41,0.883,1.774,1.802,1.455,1.806,1.649,1.895
"BROOM",1.5,0,3.722,0.056,0.056,4.167,1.227,3.955,1.409,0.091,0.909,1.79,0,1.364,0.236,0.236,1.581,1.445,1.618,1.919,0.294,1.151
"BROTHER",3.105,0.263,1.947,1.053,1.263,3.842,0.421,1.316,3.105,1.105,0.737,1.792,1.147,1.929,1.615,1.661,1.608,0.838,1.336,1.696,1.197,1.368
"BROWN",0.5,0.192,0.192,0.192,0.192,4.385,0.368,0.474,2.684,0.158,0.316,1.449,0.694,0.694,0.694,0.567,1.235,1.212,1.307,2.382,0.688,1.157
"BRUSH",1.278,0.222,3.389,1.111,0.222,3.278,0.368,3.632,2.368,1.158,0.526,1.227,0.548,1.754,1.278,0.732,1.934,0.761,1.77,2.191,1.979,1.264
"BUBBLE",0.706,0.706,2.059,0.412,0.529,4.647,0.095,1.429,2,2.19,0.143,0.985,1.404,1.784,1.004,1.125,0.493,0.436,1.599,1.897,1.887,0.655
"BUCKET",0.824,0.353,2.647,0.471,0.412,3.941,0.7,2.45,1.75,0.2,0.55,1.425,0.996,1.998,1.179,1.004,1.391,1.525,2.089,2.074,0.523,1.276
"BUG",2.19,0.571,2.571,0.333,0.238,4.19,1.421,2.211,2.421,1.105,0.632,1.778,1.248,1.777,0.856,0.539,1.167,1.774,1.813,1.774,1.729,1.257
"BUILD",1.529,0,2.882,0.176,0.294,3.529,1.474,3.947,2.737,0.947,1.421,1.546,0,2.027,0.529,1.213,1.7,1.679,1.393,2.051,1.615,1.774
"BUMP",1.346,0.154,3.923,1.846,0.192,2.423,2.762,3.048,2,0.619,2.81,1.573,0.613,1.468,1.891,0.634,1.901,1.758,1.857,1.703,1.244,1.914
"BUNNY",1.6,0.5,3.2,0.3,1.1,4.6,0.526,2.105,3.316,0.211,0.263,1.847,1.235,1.765,0.923,1.553,0.94,1.124,2.079,1.797,0.918,0.733
"BUS",3.263,0,1.368,0.211,0.421,4.263,2.45,2.6,2.45,0.8,1.8,1.558,0,1.257,0.713,0.769,1.408,1.905,1.957,1.959,1.361,1.735
"BUTTER",0.389,4.611,2.833,0.444,2.611,3.778,0.056,2.5,2.389,4.444,0.5,1.243,0.778,2.093,1.338,2.004,1.896,0.236,1.978,2.253,1.199,1.295
"BUTTERFLY",0.188,0.125,1.25,0.562,0,4.562,0.4,1.25,2.35,0.25,0.3,0.403,0.342,1.732,1.153,0,1.263,1.142,1.832,2.183,0.639,0.733
"BUTTOCK",0.211,0.316,2.684,0.474,0.737,4.105,1.235,1.588,1.765,0.353,2.412,0.631,0.946,2.056,0.905,1.447,1.595,1.751,2.063,2.047,0.862,2.093
"BUTTON",0.375,0,3.875,0,0,3.75,0.154,4.231,2.231,0.154,0.231,1.025,0,1.544,0,0,1.612,0.555,1.235,2.006,0.376,0.832
"BUY",1.889,0.833,1.389,1.167,0.722,3.556,1,2.556,2.778,1.778,0.778,1.875,1.425,1.577,1.425,1.179,1.504,1.645,1.688,1.833,1.629,1.396
"BYE",4.211,0.263,0.526,1.211,0.316,3.263,0.75,3.15,2.25,3.25,0.75,1.134,1.147,1.577,1.813,1.157,2.182,1.517,1.954,2.268,2.268,1.585
"CAKE",0.222,4.444,2.444,0.889,3.111,4,0.211,1.737,1.842,3.895,1.053,0.732,1.381,2.036,1.676,1.745,1.414,0.918,1.661,2.089,1.792,1.715
"CAMERA",1.2,0.15,3.65,0.35,0.2,4.4,0.65,3.6,2.75,0.65,0.8,1.673,0.489,1.694,1.089,0.696,0.94,1.348,1.789,2.149,1.424,1.436
"CAMP",1.842,0.526,1.895,0.474,1.526,3.526,2.619,2.476,2.857,1.476,1.905,1.425,1.172,1.56,1.073,1.349,1.744,1.857,1.834,1.982,1.537,1.729
"CANDY",0.588,4.235,2.647,0.882,2.353,3.882,0.3,2.15,1.7,4.55,1.05,1.278,1.522,1.766,1.495,1.967,1.409,0.733,1.785,1.75,0.945,1.572
"CAR",3.389,0,2.778,0.444,1.5,4.389,3,3.684,3.474,0.421,1.895,1.72,0,1.801,1.042,1.689,1.335,1.795,1.668,1.867,0.769,1.56
"CAREFUL",1.889,0.389,1.389,2.556,0.278,2.722,1.316,1.895,2.789,1.684,1.053,1.779,1.195,1.754,1.886,1.179,1.841,1.668,1.997,1.751,1.857,1.545
"CARROT",0.444,4.389,2.889,0.889,2.389,3.667,0.095,2.524,1.905,4.524,0.667,0.856,1.195,1.875,1.711,1.975,1.495,0.436,1.806,1.998,1.167,1.56
"CARRY",0.429,0.095,3.048,0.762,0.095,2.381,1.81,4.762,1.238,0.238,2.048,0.926,0.436,1.83,1.375,0.436,1.687,1.601,0.436,1.578,0.539,1.717
"CAT",3.526,0.263,3.632,0.105,1.579,4.789,1.053,2.842,2.842,0.579,1.474,1.541,1.147,1.739,0.459,1.539,0.535,1.615,2.167,1.803,1.071,1.712
"CATCH",1.176,0,3.353,0.412,0,4.059,1.105,4.263,2.105,0.421,1.158,1.629,0,2.029,0.87,0,1.345,1.487,1.195,1.761,0.769,1.537
"CEREAL",1.412,4.588,2.353,0.647,2.294,3.765,0.056,1.722,1.333,3.722,0.778,1.228,0.87,1.766,1.272,1.649,1.3,0.236,1.965,2,2.109,1.396
"CHAIR",0.35,0,3.75,0,0,4.35,3.158,2.789,2.158,0.316,2.842,0.988,0,1.164,0,0,1.04,1.834,1.96,2.089,0.946,1.951
"CHALK",1.364,0.591,3.591,0.273,1.227,4.136,0.333,3.952,1.81,0.524,0.476,1.62,0.666,1.297,0.767,1.51,0.941,0.796,1.465,1.99,1.03,1.167
"CHASE",0.882,0.176,0.294,0.471,0,3.471,3.619,1.381,1.524,0.238,1.333,1.054,0.728,0.849,0.943,0,1.841,1.564,1.746,1.806,0.625,1.683
"CHEEK",0.632,0.632,2.947,1.105,0.211,3.947,0.316,1.526,3.158,1.632,0.316,1.461,1.422,1.715,1.761,0.535,1.311,0.946,1.867,2.243,1.739,0.671
"CHEESE",0.375,3.938,2.25,0,3.062,3.25,0.05,2.25,2.35,4.05,0.85,0.885,1.526,1.612,0,1.569,1.483,0.224,1.86,1.899,1.849,1.663
"CHILD",3.267,0.067,2.267,0.867,1.4,4.2,1.55,2.3,2.4,1.75,1.2,1.981,0.258,1.831,1.246,1.298,1.32,1.905,1.809,1.93,2.023,1.852
"CHOCOLATE",0.611,4.556,2.444,1.111,3.444,3.389,0.15,2.1,2.3,4.5,0.7,1.378,0.705,1.381,1.605,1.042,1.037,0.366,1.832,2.08,1.235,1.174
"CHURCH",3.75,0.05,1.4,1.25,0.65,4.25,2.105,2.526,4.053,2.316,1.842,1.552,0.224,1.729,1.446,0.933,1.372,1.792,1.806,1.545,2.001,1.922
"CIRCUS",3.706,0.294,0.706,0.471,2.176,4.235,0.9,0.85,2,0.75,0.9,1.572,0.772,1.16,1.068,1.944,1.522,1.619,1.599,2.224,1.585,1.651
"CLIMB",0.684,0.263,2.368,1.579,0.158,2.737,4.25,4.2,2.65,0.75,3.3,1.293,0.933,1.95,1.71,0.688,2.077,1.585,1.642,2.007,1.333,2.003
"CLOCK",2.579,0.053,1.474,0.474,0.105,4.316,0.176,1.529,2.941,0.353,0.118,1.644,0.229,1.504,1.02,0.459,0.885,0.529,1.7,1.919,0.862,0.332
"CLOSE",2.526,0.421,2.368,1.368,0.684,3.842,1.381,2.762,3,1.381,1.524,2.195,1.17,1.978,1.832,1.529,1.922,1.465,1.546,2.025,1.596,1.861
"CLOSET",0.19,0,1.429,0.095,0.333,4.143,1.105,1.579,1.474,0.158,0.368,0.68,0,1.568,0.436,0.913,1.352,1.729,1.981,1.982,0.688,0.831
"CLOUD",0,0,0.35,0.05,0.15,4.9,0.318,0.364,2.909,0.364,0.227,0,0,0.933,0.224,0.366,0.447,1.129,1.136,2.18,1.136,1.066
"CLOWN",2.6,0,0.95,0.45,0.15,4.05,1.5,1.682,3.045,1.318,1.5,2.113,0,1.669,1.05,0.489,1.791,1.655,1.81,1.731,1.836,1.655
"COAT",0.361,0,4,0.528,0.667,3.861,0.333,2.857,0.476,0.095,2.905,1.099,0,1.171,1.32,1.309,1.355,0.913,1.878,1.078,0.301,2.211
"COFFEE",1,4.611,1.722,1.556,4.278,4,0.19,2,2.143,4.095,1.286,1.328,1.243,1.674,2.093,1.32,1.328,0.68,2.049,2.128,1.786,1.586
"COKE",0.947,4.184,1.263,1.237,1.5,3.579,0,1.947,1.947,4.105,0.263,1.432,1.486,1.719,1.601,1.538,1.328,0,2.121,2.297,1.761,0.806
"COLD",0.368,1.263,4.105,3.526,0.316,1.684,3.263,3.526,3.263,2.053,3.632,1.165,1.727,1.197,1.712,0.946,1.945,2.077,1.954,2.023,2.368,1.978
"COMB",0.579,0,4.158,0.842,0.053,3.895,0,3.9,4.1,0.1,0.15,1.17,0,1.463,1.537,0.229,1.524,0,1.774,1.619,0.447,0.671
"COOK",2.688,2.625,2.875,0.938,4.25,4.25,1.045,4.273,3.5,2.091,0.727,2.089,2.391,2.094,1.879,1.183,1.183,1.676,1.12,1.739,2.18,1.279
"COOKIE",0.45,4,2.8,0.55,3.35,4,0,2.2,1.8,4.3,1.35,1.146,1.686,1.852,1.146,1.663,1.026,0,1.881,1.735,1.49,1.785
"CORN",0.632,4.579,3.053,1.263,2.842,4.105,0.474,2.579,1.579,3.684,0.368,1.165,0.769,1.649,1.851,1.951,1.1,1.073,2.116,1.924,2.083,0.895
"COUCH",0.316,0.053,3.526,0.526,0.684,4.105,3.619,2.81,2.429,0.762,3.619,0.749,0.229,1.712,1.429,1.416,1.37,1.717,2.089,2.158,1.546,1.687
"COUNTRY",1.882,0.294,0.353,0.353,0.471,2.882,1.211,1.158,3,1.421,0.789,1.833,0.985,0.862,0.702,1.007,1.867,1.475,1.344,2.028,1.677,1.398
"COVER",0.758,0,2.576,0.303,0.182,3.212,1.344,3,2,1.188,1.344,1.173,0,1.768,0.728,0.465,1.673,1.753,2.032,1.918,1.491,1.715
"COW",2.75,1.25,2.15,0.45,2.4,3.95,0.286,1.762,2,0.857,0.429,2.023,1.65,2.207,1.276,1.875,1.638,0.561,1.921,1.975,1.352,1.076
"COWBOY",2.118,0.471,1.176,0.824,1,3.882,1.583,2.083,2.417,1.5,1.417,1.867,1.179,1.741,1.551,1.62,1.616,2.109,2.193,2.234,1.732,1.832
"CRACKER",1.158,4.526,2.632,0.632,1.579,3.316,0.263,2.158,1.737,3.368,0.474,1.537,0.772,1.832,1.422,1.61,1.668,0.562,1.834,1.661,1.95,0.905
"CRAYON",0.158,0.316,3.316,0,0.895,4.053,0.095,3.095,2,0.095,0.143,0.501,0.478,1.701,0,1.286,1.393,0.436,2.211,2.121,0.436,0.478
"CRIB",0.529,0,1.824,0.294,0.118,3.647,0.353,2.059,2.235,0.706,0.765,1.375,0,1.704,1.213,0.485,1.618,1.222,2.045,2.078,1.49,1.437
"CRY",3.812,0.5,0.625,3.875,0.062,4.062,0.5,1.05,4.35,2.7,1.4,1.515,0.966,0.806,1.204,0.25,1.124,1.147,1.504,1.089,2.13,1.93
"CUP",0.688,1.125,3.688,0.312,0.688,4.5,0.25,3.8,1.95,3.15,0.45,0.946,1.668,1.448,1.014,1.014,0.816,0.639,1.576,1.986,1.927,0.999
"CUT",0.95,0.05,3.45,2.15,0.1,3.25,1.263,4.211,1.842,1.053,1.316,1.276,0.224,1.82,2.134,0.308,1.773,1.727,1.273,1.922,1.58,1.668
"CUTE",1.778,0.167,0.444,1.389,0.056,4.167,0.85,1.05,3.75,1.7,1.6,1.7,0.707,1.199,1.787,0.236,1.465,1.268,1.504,1.713,1.838,1.789
"DADDY",3.722,0,2.111,1.278,1.056,3.944,1,1.421,2.421,1.421,1.105,1.742,0,2.083,1.965,1.765,1.662,1.732,1.924,2.036,1.981,1.761
"DANCE",1.474,0,1.842,2.526,0.053,4.474,4.55,3.65,2.55,0.8,3.4,1.679,0,1.893,1.954,0.229,1.219,0.887,1.387,1.932,1.24,1.392
"DARK",0.263,0.079,0.105,0.711,0.132,4.684,0.545,0.848,3.636,0.485,0.455,0.95,0.487,0.388,1.25,0.475,1.042,1.148,1.564,1.95,0.906,0.938
"DAY",1.263,0.263,0.789,1.158,0.684,4.211,1.333,1.333,2.444,1.222,1.222,1.558,1.147,1.437,1.537,1.336,1.357,1.94,1.94,2.064,1.801,1.833
"DEER",1.842,0.684,1.053,0.263,0.842,4.368,0.222,0.667,1.056,0.167,0.111,1.708,1.157,1.268,0.653,1.119,1.212,0.732,1.283,1.765,0.707,0.471
"DIAPER",0.294,0.118,2.353,0.294,2.941,3.235,0.857,1.714,1.81,0.571,1.286,0.985,0.485,1.618,1.213,1.919,1.921,1.558,1.927,2.064,1.399,1.901
"DINNER",1.235,4.824,2.118,1.235,3.647,4.059,1.105,2.053,2.474,4,1.368,1.48,0.529,1.691,1.48,1.272,1.144,1.969,2.068,2.195,1.856,1.862
"DIRTY",0.5,0.8,2.75,0.6,2.75,4.25,2.263,3.105,2.947,1.895,2.158,1.192,1.399,1.888,1.273,1.997,1.02,2.023,1.997,1.9,1.912,2.035
"DISH",0.556,0.611,3.667,0.056,0.333,4,0.05,2.7,1.3,0.45,0.05,0.922,1.501,1.414,0.236,1.029,1.414,0.224,1.867,1.78,1.05,0.224
"DO",1.217,0.957,1.348,2.478,0.826,1.696,3.737,3.947,3.579,2.947,3.368,1.757,1.796,2.058,1.78,1.749,1.769,1.759,1.649,1.677,2.041,1.892
"DOCTOR",3.176,0,0.471,0.706,0.176,4,1.526,2.368,3,2.789,1.789,1.704,0,1.068,1.404,0.529,1.323,1.926,2.006,2,2.149,1.96
"DOG",4.118,0.588,3.824,0.647,2.824,4.588,1,3.632,2.947,1.158,1,1.269,1.176,1.51,1.32,1.912,0.87,1.374,1.77,1.649,1.537,1.247
"DOLL",0.588,0,3.059,0.059,0.118,4.118,0.455,1.909,1.818,0.409,0.682,0.939,0,1.983,0.243,0.332,1.166,0.963,1.849,2.015,0.908,1.249
"DONUT",0.5,4.55,3.3,0.6,3.6,3.9,0.048,2.381,2,3.857,1.524,1.318,0.887,2.003,1.429,1.698,1.41,0.218,1.936,1.949,2.032,2.112
"DOOR",1.647,0,2.765,0,0,4.647,1.684,4.158,1.895,0.684,1.053,1.272,0,1.786,0,0,0.606,1.945,1.573,2.105,1.416,1.779
"DOWN",1.222,0.278,0.611,2.611,0.278,3.278,0.75,0.8,1.75,0.65,0.55,1.833,1.179,1.378,2.304,1.179,1.994,1.446,1.508,2.049,1.348,1.099
"DOWNTOWN",2.188,0.125,0.688,0.438,0.625,4.312,2.4,1.95,2.3,1.6,1.15,1.721,0.5,1.078,0.964,1.147,1.401,2.088,2.038,2.25,2.01,1.814
"DRAW",0.312,0,2.375,0.5,0.062,4.062,0,4.056,2.722,0.056,0.444,0.704,0,1.857,1.317,0.25,1.569,0,1.662,2.109,0.236,1.042
"DRAWER",1.412,0.176,2.706,0.235,0.118,3.647,0.55,3.5,2.3,0.2,0.7,1.543,0.728,1.724,0.752,0.485,1.539,1.234,1.85,1.867,0.696,1.261
"DRESS",0.353,0,3.412,0.529,0.059,4.353,2.211,2.526,2.368,0.316,2.789,0.996,0,2.063,1.281,0.243,1.057,2.275,2.17,2.166,0.82,2.043
"DRIVE",1.944,0,2.667,1.389,0.222,4.111,4,4.476,4.238,0.81,2.667,1.924,0,2.086,1.754,0.732,1.278,1.378,0.928,1.411,1.569,2.033
"DROP",1.882,0.294,1.529,0.765,0,3.765,1.474,3.526,1.789,0.895,1.263,1.833,1.213,1.875,1.393,0,1.348,1.577,1.389,1.873,1.487,1.593
"DRYER",2.706,0,2.294,0.235,0.412,4.059,0.75,3.15,1.8,0.65,0.75,1.49,0,2.024,0.752,0.618,1.345,1.482,2.059,1.963,1.348,1.446
"DUCK",3.316,2.263,2.053,0.316,0.789,4.421,1.143,1.381,2.667,0.667,1.381,1.336,1.996,1.929,0.82,1.273,0.838,1.74,1.658,1.798,1.528,1.884
"DUMP",1.263,0,0.895,0.526,1.632,3.316,1.238,3.048,2.19,0.857,1.619,1.727,0,1.329,1.073,2.241,1.945,1.64,1.936,2.182,1.276,1.83
"EAR",2.778,0.056,3.056,1.444,0.278,3.833,0.048,0.762,3.619,0.19,0.095,2.264,0.236,1.893,1.977,0.826,1.425,0.218,1.446,2.109,0.68,0.436
"EAT",1.263,4.526,2.158,2.474,2.421,2.632,0.05,2.9,2,4.85,1.6,1.485,1.307,1.74,1.806,1.575,1.862,0.224,1.744,1.717,0.366,1.635
"EGG",0.875,4.062,3.188,0.25,2.938,3.562,0.429,2,1.714,2.857,0.476,1.544,1.731,2.04,0.577,1.769,1.788,1.248,1.761,1.765,2.007,1.25
"ELEPHANT",3.35,0,1.95,0.55,1.95,4.35,0.429,0.762,2.048,0.286,0.19,1.843,0,1.986,1.356,1.791,1.309,1.028,1.338,2.085,0.902,0.512
"EMPTY",0.824,0.235,2.118,2,0.176,4.059,0.158,1.053,1.421,0.526,0.895,1.551,0.752,1.996,2,0.529,1.029,0.501,1.649,1.895,1.02,1.37
"EYE",0.278,0.056,1.5,1.056,0,4.611,0,0.238,5,0.143,0,1.179,0.236,1.823,1.349,0,1.195,0,0.625,0,0.478,0
"FACE",0.25,0.35,3.1,0.45,0.3,4.95,0.1,0.8,4.6,2.85,0.2,0.91,0.813,1.944,1.146,0.801,0.224,0.308,1.24,0.754,2.059,0.696
"FALL",2.5,0,1.611,2.389,0.5,4.167,3,2.619,2.048,1.048,2.476,1.724,0,1.944,2.004,1.2,1.043,2.214,2.156,2.376,1.884,2.136
"FARM",1.941,0.176,1.588,0.412,2.588,4,2.421,2.789,2.684,0.579,1.526,1.749,0.728,1.839,0.939,2.033,1.225,1.865,1.96,1.797,1.017,1.645
"FAST",1.842,0,1.105,2.158,0,3.421,3.158,2.158,2.263,1.526,1.895,1.537,0,1.41,1.951,0,1.465,2.035,2.035,2.13,1.744,1.941
"FEE",1.722,0.167,0.333,0.222,0.222,2.222,0.095,0.952,2.429,0.952,0.143,1.809,0.707,0.84,0.732,0.732,1.801,0.301,1.431,2.014,1.627,0.478
"FIND",1.889,0.167,1.833,0.167,0.389,3.444,0.9,1.65,2.15,0.65,0.35,1.811,0.514,1.978,0.383,0.979,1.79,1.518,2.134,2.323,1.531,1.182
"FINE",1.316,0.579,1.105,2.368,0.526,2.316,1,1.762,2.619,1.429,1,1.6,1.305,1.696,1.95,1.307,1.945,1.924,2.047,2.061,2.135,1.924
"FINGER",0.158,0.632,4.105,0.789,0.368,3.947,0.176,4.588,1.412,0.176,0.176,0.375,1.383,1.329,1.512,0.831,1.471,0.728,1.228,2.152,0.728,0.728
"FINISH",1.688,0.562,1,1.562,0.312,3.062,1.722,1.833,1.722,1.333,1.111,1.815,0.964,1.549,1.75,0.704,1.843,2.081,2.093,2.191,1.91,1.906
"FIREMAN",2.556,0,1.056,0.222,0.333,4.444,1.368,1.421,2.579,1.263,1.158,1.822,0,1.731,0.943,1.029,1.097,2.06,2.009,2.09,2.051,2.062
"FIRST",1.438,0.25,0.625,1.312,0.312,3.188,0.789,1,1.421,1,0.895,1.861,1,1.36,1.74,1.014,1.974,1.548,1.667,1.865,1.732,1.56
"FIX",1.611,0.444,2.111,0.5,0.278,3.722,1,3.55,2.7,1.5,1.25,2.004,1.247,2.139,1.339,1.179,1.809,1.556,1.669,1.867,1.878,1.773
"FLAG",0.667,0,1.778,0.056,0,4.167,0.368,2.316,2.474,0.632,0.316,1.138,0,1.987,0.236,0,1.465,1.165,1.887,2.065,1.571,1.157
"FLOWER",0.278,1.167,3.333,1,4.389,4.278,0.55,3.1,3.7,0.25,0.55,0.958,1.689,1.715,1.68,0.916,1.227,1.395,1.971,2.003,0.716,1.317
"FOOD",1.579,4.579,3.579,1.368,4.105,4.105,0.174,2.348,2.261,3.87,1.217,1.644,0.902,1.502,1.892,1.197,1.243,0.491,2.102,2.179,1.914,1.783
"FOOT",0.684,0.053,2.737,0.632,1,4.105,4.526,0.526,0.368,0.158,0.158,1.204,0.229,1.851,1.461,1.106,1.243,1.073,1.02,0.895,0.688,0.688
"FOR",1.053,0,0.211,0.105,0.053,1,0.55,0.6,1.65,1.2,0.45,1.682,0,0.713,0.315,0.229,1.453,1.432,1.429,2.059,1.795,1.395
"FORK",0.833,0.722,3.667,0.056,0.167,4.111,0.45,4.45,1.65,3.15,0.55,1.543,1.179,1.495,0.236,0.383,1.183,1.276,0.887,1.927,2.059,1.234
"FRIEND",3.053,0.421,2.105,1.842,0.789,3.737,0.944,1.556,2.222,1.889,1,1.779,1.305,1.853,1.864,1.357,1.695,1.589,1.917,1.768,1.641,1.572
"FROG",3.667,0.444,2,0.722,0.667,3.778,0.412,1.765,2.294,0.588,0.294,1.495,0.984,1.749,1.406,1.085,1.437,1.228,1.855,2.201,1.278,1.213
"FULL",0.421,1.158,1.632,4.211,0.211,1.842,1.333,2.111,2.444,2.611,3.333,1.216,1.573,1.77,1.619,0.419,2.007,1.97,1.676,1.854,2.09,1.782
"GAME",2.188,0.062,1.812,1.625,0.125,3.688,1.889,3.611,3.611,2.5,1.5,1.721,0.25,1.377,1.5,0.342,1.138,1.937,1.461,1.42,1.978,1.79
"GARAGE",1.167,0,1.278,0.5,0.611,3.722,1.944,1.667,2.722,0.056,1.278,1.79,0,2.137,0.924,1.29,2.081,1.798,1.782,1.776,0.236,1.364
"GARBAGE",0.474,0.789,2.368,0.684,4.263,4.579,0.5,1.9,2.75,0.35,0.15,1.172,1.437,1.77,1.6,0.872,0.902,0.889,1.651,1.997,0.671,0.489
"GARDEN",0.1,0.85,2.1,0.2,2.05,3.85,2.158,3.158,2.737,0.526,1.263,0.308,1.531,1.971,0.616,1.504,1.599,1.675,2.167,2.156,1.264,1.695
"GENTLE",1.947,0.053,3.263,2.158,0.263,3.263,1.789,2.947,2.789,1.947,1.789,1.615,0.229,1.727,1.979,0.653,1.098,2.275,1.957,2.097,2.172,2.175
"GET",1.471,0.647,1.529,1,0.588,2.471,1,2.952,1.571,0.952,0.667,1.7,1.498,1.94,1.732,1.417,1.94,1.378,1.987,1.859,1.687,1.238
"GIRAFFE",1.556,0,1.056,0.222,1.222,4.222,0.222,0.722,2.889,0.167,0.222,1.947,0,1.765,0.732,1.801,1.629,0.548,1.018,2.055,0.707,0.732
"GIRL",3.5,0.444,2.333,0.944,1.722,4.5,1.3,1.85,2.75,2.15,1.75,1.465,1.247,2.196,1.862,1.873,0.857,1.867,1.927,2.149,2.059,2.099
"GIVE",1.889,0,1.222,1.333,0,3.556,0.81,3.333,2.381,2,0.714,1.711,0,1.665,1.97,0,1.653,1.75,1.932,2.247,2.168,1.617
"GLASS",1.211,0.211,3.368,0.105,0.184,4.211,0.15,2.85,2.05,0.7,0.2,1.63,0.664,1.422,0.388,0.652,1.166,0.489,2.11,2.064,1.418,0.523
