"Word","Auditory.mean","Gustatory.mean","Haptic.mean","Interoceptive.mean","Olfactory.mean","Visual.mean","Foot_leg.mean","Hand_arm.mean","Head.mean","Mouth.mean","Torso.mean","Auditory.SD","Gustatory.SD","Haptic.SD","Interoceptive.SD","Olfactory.SD","Visual.SD","Foot_leg.SD","Hand_arm.SD","Head.SD","Mouth.SD","Torso.SD"
"TOAST",0.824,4.647,3.353,0.529,3.529,4.294,0.238,2.762,1.524,3.714,0.429,1.237,0.606,1.693,1.231,1.505,0.92,0.889,1.729,1.75,1.927,1.076
"TODAY",1.056,0.278,0.278,1.778,0.278,2.5,1.143,1.429,2.714,1.571,1.333,1.765,1.179,1.179,1.665,1.179,1.886,1.459,1.63,1.848,1.805,1.683
"TOE",0.158,0.158,3.474,1.158,0.789,4.368,4.25,0.3,0.85,0.05,0.05,0.501,0.501,1.867,1.608,1.437,1.165,1.832,1.129,1.814,0.224,0.224
"TOMORROW",0.474,0.158,0.105,0.632,0.158,1,0.526,0.421,2.158,0.579,0.421,1.124,0.501,0.315,1.342,0.688,1.563,1.349,1.305,2.141,1.427,1.305
"TONGUE",0.318,2.364,2.864,1.636,0.227,3.364,0.222,0.667,0.778,4.944,0.333,0.716,2.083,1.885,1.891,0.685,1.706,0.732,1.372,1.263,0.236,0.767
"TONIGHT",1.529,0.294,0.588,1.118,0.706,2.588,1.25,1.35,3.25,1.2,1.4,1.663,0.686,1.326,1.536,1.404,2.093,1.916,1.927,1.97,1.908,1.93
"TOOTH",0.5,0.812,3.375,1.375,0.062,3.25,0,0.667,1.5,4.111,0,0.894,1.424,1.5,1.821,0.25,1.88,0,0.97,2.121,1.711,0
"TOOTHBRUSH",0.941,1,2.941,0.412,0.235,4.059,0.056,3.222,1.833,3.722,0.278,1.249,1.541,2.045,1.004,0.664,1.749,0.236,2.184,2.036,2.081,0.958
"TOUCH",0.562,0,4.875,1.312,0,2.625,1.85,4.9,1.9,1.3,1.45,1.413,0,0.5,1.621,0,2.029,2.231,0.308,2.245,2.003,1.932
"TOWEL",0.522,0,4.13,0.261,0.522,4.348,2.619,3.905,2.524,0.714,2.952,1.31,0,1.456,0.864,1.163,0.885,1.857,1.7,2.159,1.231,1.802
